id,text,tags,colors
198,,gear;cog;settings;gray;small icon,gray
199,,diamond;gem;purple;shape;small icon,blue;black
200,,people;group;users;crowd;small icon,black;red;gray
201,,camera;webcam;eye;small icon,gray;blue;black;cyan
202,,square;frame;box;red;small icon,black
203,,picture;image;chart;stamp;small icon,black;orange;red
204,,kirby;nintendo;cute;pink;video game;face,white
205,,refresh;reload;arrow;circular arrow;small icon,black
206,,face;speech bubble;alert;exclamation;hotline;small icon,black;white;orange
207,,warning;caution;triangle;exclamation;small icon,yellow;black
208,,palette;paint;art;colors;small icon,white;black
209,,glasses;eyeglasses;spectacles;small icon,blue;black
210,,document;download;arrow;file;small icon,white;black
211,,document;upload;arrow;file;small icon,white;black
212,,trash;trash can;delete;garbage;small icon,gray;black;white
213,,stop;stop sign;hand;red;small icon,black;orange;red
214,,cd;disc;paint;brush;small icon,black;yellow
215,,info;information;letter i;black;small icon,black;white
216,,traffic light;green light;light;small icon,green;black;gray
217,,magnifying glass;search;document;find;small icon,white;black
218,,arrow;up arrow;black;small icon,black
219,,arrow;right arrow;black;small icon,black
220,,face;document;message;speech;small icon,black;orange;white
221,,box;toolbox;arrow;brown;small icon,black;red;orange
222,,document;pin;note;file;small icon,white;black
223,,pencil;write;edit;small icon,black;gold
224,,arrow;up arrow;black;small icon,black
225,,arrow;down arrow;black;small icon,black
226,,face;crossed out;no;prohibited;small icon,black;red;orange
227,,faces;crossed out;no;prohibited;small icon,orange;red;black
230,,door;exit;logout;arrow;small icon,blue;black
231,,box;toolbox;brown;small icon,black;orange
232,,network;nodes;triangle;connection;small icon,gray;black;blue
233,,globe;earth;world;planet;small icon,blue;green;black
234,,person;user;add user;plus;small icon,black;yellow;gray;orange
235,,documents;files;pages;small icon,black;blue;white;gray
236,,newspaper;news;small icon,white;gray;black
237,,faces;two faces;users;people;small icon,orange;black
238,,face;speech bubble;message;hotline;small icon,black;white;orange
239,,face;speech bubble;alert;exclamation;hotline;small icon,black;white;orange
240,,arrow;triangle;right;disclosure;small icon,blue;gray
241,,arrow;triangle;down;disclosure;small icon,blue;gray
242,,faces;two faces;users;people;small icon,orange;black
243,,people;group;users;crowd;small icon,black;red;gray
244,$,dollar sign;money;green;small icon,black;green
245,,film;movie;video;filmstrip;small icon,white;black
246,,document;file;arrow;small icon,white;black;gray
247,,document;text file;arrow;small icon,white;black;gray
250,,person;user;figure;green;small icon,white;green;gray;black
251,,person;user;figure;gray;small icon,white;gray;black
252,,person;user;figure;red;small icon,white;black;gray
253,,person;user;figure;yellow;small icon,white;gray;black;yellow
276,,books;stack;library;small icon,black;orange;gray;blue
277,,book;open book;reading;red;small icon,black;white;red
278,,flag;red flag;small icon,white;black;red
333,,java;duke;mascot;cartoon;small icon,white;gray
400,,document;blank page;file;plain;small icon,white;black
401,,folder;file folder;small icon,blue;black
402,,document;file;page;small icon,white;gray;black
403,,document;file;letter g;small icon,black;white;blue
404,,document;text file;page;small icon,white;black
405,,window;application;app;small icon,black;white;gray
406,,document;image file;shapes;small icon,white;black
407,,document;image;diamond;small icon,black;white
408,H,document;hotline;h logo;file;small icon,white;black;red
409,,document;image file;picture;small icon,black;white;blue
410,H,hotline;h logo;parchment;paper texture;beige,brown;orange
411,,arrows;swap;exchange;green;blue;small icon,black;green;blue
412,,no;prohibited;ban;forbidden;circle;small icon,black
413,,newspaper;news;small icon,white;gray;black
414,,face;head;user;small icon,orange;black
415,,faces;two faces;users;people;small icon,orange;black
416,,arrows;four arrows;move;green;small icon,black;green;blue
417,,person;user;figure;yellow;small icon,black;yellow;orange;gray
418,,person;user;add user;plus;small icon,black;yellow;gray;orange
419,,list;radio buttons;options;small icon,black;gray
420,,book;open book;reading;small icon,black;gray;white
421,,folder;download;arrow;small icon,blue;black
422,?,document;question mark;unknown file;small icon,white;black;gray
423,,document;floppy disk;save;small icon,black;white;gray
424,,document;music note;audio file;small icon,black;white
425,,document;film;movie file;video;small icon,black;white
426,,document;arrow;file;small icon,black;white
427,,document;cd;disc;small icon,white;gray;black
500,HX,hx;hotline;parchment;paper texture;beige,brown;orange;yellow
666,,pentagram;star;satanic;parchment;paper texture,brown;orange
706,,demon;monster;red eyes;dark;pixel art;horror,gray;black
824,HX,hx;hotline;green;small icon;logo,black;green;gray
1000,,stop;stop sign;hand;octagon;red,red;orange;brown
1001,,face;speech bubble;message;chat;hotline,black;white;orange;gray
1002,,warning;caution;triangle;exclamation;yellow,yellow;black;gray
1003,?,face;speech bubble;question mark;help;hotline,black;white;orange;gray
1004,Red,red series;purple;glow;pink;abstract,pink;purple
1005,Red,red series;eye;woman;face;photo,gray;brown;black
1006,Red,red series;pixel art;yellow;figures;black,black;gold
1007,Red,red series;blue;texture;dark;abstract,black;blue
1008,Red UNIX,red series;unix;operating system;computer;green,black;green
1009,"Red Where there is a shell, there is a way.",red series;unix;shell;terminal;quote;computer,black;green
1010,Red,red series;purple;logo;eye;abstract,black;red
1011,Red think,red series;think;light bulb;gray;idea,gray
1012,Red Venom,red series;venom;spider-man;marvel;comics;villain,black;red
1013,Red blow me.,red series;rude;crude;humor;black,black;gold;yellow
1014,Red,red series;pyramid;triangle;gold;black,black;gold
1015,Red Call of Duty,red series;call of duty;video game;fps;military;logo,black;gray;white
1016,Red MW3,red series;call of duty;modern warfare 3;mw3;video game;military,green;black
1017,Red Ghost Recon,red series;ghost recon;tom clancy;video game;military;skull,black;gray
1018,Red,red series;portal;valve;video game;white,white;gray
1019,Red,red series;portal 2;valve;video game;blue,black;blue
1020,Red Powered by Linux,red series;linux;operating system;powered by;computer,black;blue
1021,,fallout;vault boy;video game;cartoon;red;dark,black;red;gray
1022,"""Don't let what other people think stop you from doing the things you love""",quote;hammer and sickle;soviet;communist;inspirational,black;gray
1023,"""Don't let what other people think stop you from doing the things you love""",quote;face;man;photo;inspirational,gray;black
1024,UNIX,unix;hammer and sickle;soviet;operating system;computer,black;green
1025,Venom,venom;spider-man;marvel;hammer and sickle;soviet;comics,black
1026,Ghost Recon,ghost recon;tom clancy;video game;hammer and sickle;soviet;military,black;gray
1027,"Where there is a shell, there is a way.",unix;shell;terminal;quote;hammer and sickle;soviet,black;green
1130,,person;user;figure;rainbow;apple;small icon,black;red;green;gray
1250,,skull;crossbones;skull and crossbones;pirate;danger;small icon,gray;yellow
1251,,clock;time;watch;small icon,white;black;gray
1968,,hat;top hat;blue;gradient;abstract,blue;white
1969,,dog;cartoon;face;small icon,black;white;orange
2000,,globe;earth;world;planet;small icon,blue;black;green
2001,,skull;gray;death;small icon,gray;white;black
2002,,gears;ball bearings;machine;metal;mechanical,gray;white
2003,,fish;blue;animal;small icon,black;blue
2004,CodeWarrior,codewarrior;metrowerks;programming;bug;ide;caution stripes,white;gold;gray
2006,420,420;marijuana;weed;cannabis;pot leaf;stoner,black;green
2007,,molecule;atoms;balls;purple;small icon,purple;gray
2008,,spiral;swirl;green;ball;small icon,green;black
2009,,donut;doughnut;ring;blue;small icon,blue;cyan;green
2010,,eye;eyeball;red;green;small icon,green;black;gray;pink
2011,,flower;pink;abstract;soft;blurry,white;pink
2012,j00 w4n7 70 s3xx0r my 1337 ic0n?,leet;1337;hacker;star;humor;text,white;gray
2013,,tux;linux;penguin;mascot;small icon,gray;black;white
2014,,smiley;smiley face;happy;yellow;emoticon;small icon,yellow;black;gray
2015,,mouse;cartoon;creature;blue;small icon,blue;black
2016,,computer;monitor;pc;small icon,gray;black
2017,,bug;ladybug;beetle;rainbow;apple;small icon,black;red
2018,,eyes;googly eyes;blue;small icon,black;white;gray;blue
2019,,squirrel;animal;brown;small icon,orange;black
2020,,mario;super mario;nintendo;video game;pixel art;small icon,black;red;blue;pink
2021,,footprints;feet;black;small icon,black
2022,,martini;cocktail;drink;glass;small icon,blue;white;gray
2023,,bird;cartoon;flying;orange;small icon,black;yellow;red
2024,,crosshair;target;compass;small icon,black
2025,@!#?@,cursing;swearing;symbols;grawlix;profanity,black
2026,Don't Message,do not message;dont message;warning;red text;small icon,red;pink
2027,,imac;computer;mac;apple;small icon,gray;white;blue
2028,,anime;face;eyes;man;small icon,black;red;gray
2029,,footprints;paw prints;black;small icon,black
2030,,copyright;letter c;circle;blue;small icon,black;blue;white
2031,,eye;eyeball;orange;small icon,orange;black
2032,,roadrunner;looney tunes;bird;cartoon;small icon,gray;blue;cyan;white
2033,,chip;microchip;cpu;computer;small icon,gray;black
2034,,dog;snoopy;cartoon;white;small icon,white;gray
2035,,radiation;radioactive;nuclear;hazard;yellow;small icon,yellow;gold;black
2036,,high voltage;lightning;warning;electric;small icon,yellow;black;gold
2037,,warning;caution;triangle;exclamation;small icon,yellow;black;gold
2038,,landscape;nature;photo;sky;small icon,blue
2040,,smiley;smiley face;happy;yellow;orange;gradient,orange;yellow
2041,,bomb;black;explosive;small icon,black
2042,,apple;apple logo;rainbow;mac;small icon,white;blue
2043,,keyboard;document;computer;small icon,white;black;gray
2044,,tornado;twister;storm;weather;small icon,blue;gray
2045,,spider;bug;insect;black;small icon,gray;white;black;brown
2046,,cuba;cuban flag;flag;che guevara;revolution,blue;white
2047,,star trek;starfleet;badge;sci-fi;photo,brown;red;gray
2048,,arrow;right arrow;blue;green;small icon,blue;green
2049,,kirby;nintendo;cute;white;small icon,white;black;blue
2050,,lips;kiss;mouth;red;small icon,red;pink
2051,,grateful dead;steal your face;band;lightning bolt;skull;small icon,red;blue;white
2052,,bmw;car;logo;brand;small icon,gray;black;white
2053,,spy;man;hat;silhouette;black;small icon,black
2054,,muffin;cupcake;food;small icon,red;orange;black;yellow
2055,,lightning;lightning bolt;flash;red;small icon,black;white;red;gray
2056,H,hotline;h logo;letter h;gray;small icon,gray;black
2057,,face;cartoon;man;head;small icon,black;orange;brown
2058,,sword;blade;dagger;weapon;small icon,gray;black
2059,,alien;alien head;black;small icon,black;white;gray
2060,,coffee pot;coffee;carafe;small icon,black;gray;red
2061,"JAVA money, sex, and java",java;coffee;coffee cup;humor;programming,white;gray
2062,,fortune cookie;cookie;food;small icon,orange;black;yellow;brown
2063,,taco;food;mexican food;small icon,black;yellow;brown
2064,,pizza;pizza slice;food;small icon,orange;black;red
2065,,hamburger;burger;food;small icon,orange;black
2066,,hot dog;food;small icon,black;orange
2067,,popsicle;ice cream;dessert;pink;small icon,pink;black
2070,,face;cartoon;man;blond;small icon,orange;black
2071,,scooby-doo;dog;cartoon;hanna-barbera;small icon,brown;black
2072,,face;cartoon;bald;grin;small icon,orange;black
2073,,felix the cat;cat;cartoon;black and white;small icon,gray;white;black
2075,,cartoon;man;striped shirt;character;small icon,brown;red;gray;black
2079,,cartoon;character;black and white;small icon,gray;white;black
2098,,snoopy;peanuts;dog;cartoon;small icon,gray;white
2100,,gear;spiky;emblem;dark red;small icon,black;gray;brown
2101,,emblem;badge;round;green;small icon,green;yellow;gray;gold
2102,,leaf;maple leaf;autumn;orange;small icon,yellow;red;orange
2103,,globe;emblem;round;green;small icon,green;gray
2104,,shield;crest;badge;blue;small icon,blue;cyan;green
2105,,emblem;seal;badge;round;small icon,gray;white;blue
2106,,emblem;badge;round;face;small icon,yellow;gray;white;black
2107,,emblem;badge;horse;round;small icon,yellow;black
2108,,emblem;dinosaur;red circle;badge;small icon,red;black
2109,,emblem;badge;round;landscape;small icon,yellow;gray
2110,,emblem;symbol;red circle;badge;small icon,red;black
2112,,emblem;bird;badge;green;small icon,green;cyan;black
2113,,emblem;sun;badge;red;small icon,red;orange
2115,,cartoon;face;man;big nose;small icon,gray;black;red;yellow
2116,,cartoon;face;black and white;sketch;small icon,white;gray
2117,,cartoon;face;man;red cap;small icon,orange;gray;white
2118,,cartoon;dog;animal;brown;small icon,orange;black;brown
2119,,cartoon;face;man;glasses;small icon,orange;black;green
2120,,cartoon;bear;animal;brown;small icon,orange;black
2121,,cartoon;beaver;animal;brown;small icon,orange;black
2122,,cartoon;face;man;glasses;photo;eyes,blue;white;gray
2123,,cartoon;hippo;animal;blue;small icon,cyan;gray
2124,,cartoon;animal;dog;brown;small icon,orange;black
2125,,cartoon;animal;beaver;orange;small icon,orange;black;gray
2126,,cartoon;face;man;small icon,gray;pink;orange
2222,SoSueMe Server,sosueme;server;hotline server;logo;small icon,blue;gray;black
2223,LOG,log;female symbol;venus;logo;small icon,white;gray;blue
2400,Canada,canada;canadian flag;flag;maple leaf;orange gradient,pink;orange
2401,,fire;flame;comet;fireball;small icon,red;orange
2402,,frog;cartoon;green;eyes;small icon,white;green;black
2403,,cartoon;face;red hat;small icon,red;orange;black
2404,,cartoon;face;green;yellow;small icon,black;green;yellow
2500,Ziggy,ziggy;logo;text;black;small icon,black;gray;white
2501,,south park;chef;cartoon;face;small icon,black;white;red
2502,,south park;kenny;cartoon;orange hood;small icon,orange;black
2503,,south park;kyle;cartoon;green hat;small icon,black;orange;green
2504,,south park;stan;cartoon;small icon,orange;black;purple
2505,,south park;cartman;cartoon;small icon,orange;black
2506,,koala;animal;cartoon;gray;small icon,gray
2507,,cat;cartoon;animal;white;small icon,gray;white
2528,,dog;cartoon;animal;white;small icon,white;black;gray
2529,,mouse;cartoon;pink ears;blue;small icon,black;red;white;cyan
2530,,turtle;cartoon;animal;green;small icon,gold;black;green
2531,,frog;cartoon;animal;green;small icon,green;black;yellow
2532,,cartoon;creature;white;small icon,white;black;gray
2533,,cartoon;creature;blue;monster;small icon,cyan;black
2534,clone mutate radiate mutilate reflect,snail;cartoon;blue;gradient;mutation,blue;cyan
2535,,cartoon;face;glasses;brown;small icon,orange;black
2536,,cartoon;animal;mouse;small icon,white;black;gray;red
2537,,daffy duck;looney tunes;duck;cartoon;small icon,red;black
2538,,sylvester;looney tunes;cat;cartoon;small icon,white;black;gray
2539,,yosemite sam;looney tunes;cartoon;mustache;small icon,gray;black
2540,,speed lines;logo;blue;italic;small icon,purple;gray
2541,,dog;cartoon;terrier;white;small icon,gray;white
2542,,dog;cartoon;running;white;small icon,gray;white
2543,,cartoon;animal;chipmunk;brown;small icon,gray
2544,,beaver;cartoon;buck teeth;animal;small icon,orange;gray
2545,,cartoon;weasel;animal;orange;small icon,orange;gray;red;yellow
2546,,cartoon;face;green;grin;small icon,green;black;yellow;gray
2547,,cartoon;face;yellow;evil grin;teeth;small icon,yellow;black;white
2548,,cartoon;face;pink;bald;small icon,orange;black
2549,,israel;israeli flag;flag;star of david;clouds,blue;purple
2550,,hungary;hungarian flag;flag;small icon,black;red;white;green
2551,,poland;polish flag;flag;clouds,pink;white;red
2552,,mexico;mexican flag;flag;clouds,green;gray;purple
2553,USA!,usa;american flag;flag;united states;stars;america,gray;pink;blue
2554,,netherlands;dutch flag;flag;holland;clouds,gray;purple;pink
2555,Canada,canada;canadian flag;flag;maple leaf;orange gradient,pink;orange
2556,,australia;australian flag;flag;small icon,black;white;red
2557,,norway;norwegian flag;flag;small icon,red;white;black
2558,,finland;finnish flag;flag;small icon,white;black;blue
2559,,flag;black and white;cross;small icon,black;white
2560,,spain;spanish flag;flag;small icon,red;yellow
2561,,sweden;swedish flag;flag;small icon,blue;yellow
2562,,belgium;belgian flag;flag;clouds,brown;gold
2563,,italy;italian flag;flag;clouds,green;gray;cyan
2564,,germany;german flag;flag;small icon,black;red;yellow;white
2565,,united kingdom;uk;union jack;british flag;flag;clouds,pink;purple
2566,,france;french flag;flag;clouds,blue
2567,,japan;japanese flag;flag;clouds,pink;red;orange
2568,,switzerland;swiss flag;flag;small icon,red;white
2569,,switzerland;swiss flag;germany;german flag;flag;small icon,red;white
2570,,cartoon;monkey;face;small icon,yellow;orange;red
2571,,penguin;bird;black and white;small icon,gray;black;white
2572,,fire extinguisher;firecracker;red;small icon,red;black;gray
2573,,cartoon;dog;yellow;small icon,yellow;black;gray
2574,,cartoon;character;yellow;small icon,yellow;black;orange
2575,,cartoon;face;man;small icon,orange;black
2576,,cartoon;face;red;blue nose;small icon,black;red;white
2577,,stimpy;ren and stimpy;cat;cartoon;small icon,black;red;orange;blue
2578,,cartoon;face;red eyes;brown;small icon,orange;pink;black
2579,,cartoon;face;blue;big nose;small icon,blue;black
2580,,coca-cola;coke;soda can;drink;red;small icon,red;black;gray
2581,,pepsi;soda can;drink;small icon,black;white;red;gray
2582,Coca-Cola,coca-cola;coke;soda;drink;logo;brand,red;white
2583,,ronald mcdonald;mcdonalds;clown;face;small icon,red;gray;white
2584,Star Wars,star wars;logo;movie;sci-fi;small icon,gray;black;white
2585,,cartoon;bird;flying;small icon,black;yellow;red
2586,,guitar;electric guitar;music;red;small icon,black;red;white;gray
2587,,flags;flag;waving;small icon,blue;black;red;white
2588,Advisory,parental advisory;explicit content;warning label;music;gray,gray
2589,,windows;windows xp;microsoft;logo;operating system,white
2590,,mario;super mario;nintendo;video game;pixel art;small icon,brown;blue;pink;black
2591,,mario;super mario;nintendo;face;pixel art;small icon,black;red;orange
2592,,goomba;super mario;nintendo;video game;pixel art;small icon,black;red;orange
2593,,mushroom;super mushroom;super mario;nintendo;pixel art;small icon,black;white;red
2594,,mushroom;super mushroom;super mario;nintendo;pixel art;small icon,white;red;black
2595,,mushroom;pink;super mario;nintendo;pixel art;small icon,pink;white;black
2596,,creature;blue;nintendo;pixel art;small icon,black;white;blue
2597,,cheep cheep;fish;super mario;nintendo;pixel art;small icon,black;red
2598,,cartoon;creature;colorful;small icon,gray
2599,,cartoon;face;sketch;black and white;small icon,gray;white;blue
2600,Warning,warning;hammer and sickle;soviet;parchment;paper texture,brown;yellow
2601,,wolf;animal;photo;gray;small icon,gray;white;brown
2602,,wolf;animal;photo;brown;small icon,white;brown;orange
2603,,cow skull;skull;horns;longhorn;black and white;small icon,white;gray
2604,,tribal;ornament;pattern;brown;small icon,black;orange;brown
2605,,cmyk;color squares;cyan;magenta;yellow;printing,blue;pink;black;yellow
2606,,cartoon;face;man;cap;small icon,orange;white;blue;black
2607,,cartoon;face;red hood;small icon,red;orange;white;black
2608,,dog;cartoon;white;face;small icon,white;black;gray
2609,,cartoon;face;man;glasses;small icon,red;white;black
2610,,sonic;sonic the hedgehog;sega;video game;small icon,white;purple;blue;black
2611,,mario;super mario;nintendo;face;small icon,orange;black;white;red
2612,,mushroom;toadstool;red;small icon,white;red;gold
2613,,frog;cartoon;green;eyes;small icon,white;green;black
2614,,cartoon;character;small icon,white
2615,Mountain Dew,mountain dew;soda;drink;logo;brand;green,green;white;red
2616,,cartoon;man;big hair;tall;character,white;gray;brown
2617,evil inside,evil inside;intel inside parody;intel;parody;logo,white;black;blue;gray
2618,Lazer Orca,lazer orca;logo;sun;yellow;small icon,yellow;black
2619,P,superman;shield;letter p;emblem;small icon,white;red
2620,,flammable;fire;hazard;warning;yellow;small icon,yellow;gold;black
2621,,toxic;poison;skull and crossbones;hazard;yellow;small icon,gold;yellow;black
2622,,biohazard;warning;triangle;hazard;small icon,white;black;gray
2623,,alien;alien head;black;small icon,black;white;gray
2624,,x-files;letter x;green;black;sci-fi;small icon,black;gray
2625,,ghost;robot;white;small icon,white;gray
2626,,anarchy;symbol;black;circle;small icon,white;black;gray
2627,,cartoon;face;skull;blond;small icon,yellow;black;white
2628,,diamond;gem;crystal;orange;small icon,white;red
2629,,hooded figure;emperor;star wars;dark;face;small icon,gray;black;white
2630,,hooded figure;jawa;star wars;orange;small icon,white;orange
2631,,robot;red;box;small icon,white;red;gray
2632,,face;mask;dark;small icon,black;white
2633,,fish;bird;blue;cartoon;small icon,white;black;blue
2634,,face;old man;photo;gray;small icon,gray;black;white
2635,,globe;earth;ball;green;small icon,white;cyan;black;green
2636,,footprints;feet;black;small icon,white;black
2637,,cloud;storm;gray;weather;small icon,white;black;gray;blue
2638,,spy;man;hat;red eye;silhouette;small icon,black;white
2639,,batman;dc comics;superhero;mask;small icon,white;black;orange
2640,,marijuana;weed;cannabis;pot leaf;green;small icon,white;green
2641,,mario;super mario;nintendo;pixel art;small icon,white;black
2642,,goomba;super mario;nintendo;pixel art;small icon,white;black
2643,,mushroom;super mushroom;super mario;nintendo;pixel art;small icon,white;black;red
2644,,fire extinguisher;red;small icon,white;red;black
2645,,mac os;finder;cracked;broken;small icon,blue;black
2646,,smiley;smiley face;green;happy;emoticon;small icon,green;black;white
2647,,cartoon;creature;black and white;eye;small icon,white;black
2648,,x;red x;close;cross;small icon,red;white
2649,,lightning;lightning bolt;flash;small icon,white;black
2650,,palm tree;tree;plant;pot;small icon,white;black;green
2651,,cartoon;creature;blue;round;small icon,white;black;blue
2652,,moogle;final fantasy;cute;white;small icon,white;black
2653,,gargoyle;statue;monster;gray;small icon,black;cyan;white
2654,,kirby;nintendo;cute;white;small icon,white;black
2655,,tombstone;gravestone;gray;small icon,white;black;gray
2656,,robot;helmet;gray;small icon,white;black
2657,,bomb;black;explosive;small icon,black;white
2658,,mouse;cartoon;blue;small icon,white;blue;black
2659,,bird;cartoon;red;small icon,red;white;black;yellow
2660,,cartoon;face;man;blond;small icon,orange;black;white
2661,,scooby-doo;dog;cartoon;hanna-barbera;small icon,brown;black;white
2662,,recycle;recycling;arrows;green;small icon,white;black;green
2663,,spy;man;hat;silhouette;red;small icon,red;white
2664,,cartoon;character;dark;small icon,black;white
2665,,spy;man;hat;silhouette;black;small icon,black;white
2666,,camel;animal;silhouette;black;small icon,white;black
2667,,mushroom;super mushroom;super mario;nintendo;pixel art;small icon,white;red;gray
2668,NEW,new;badge;starburst;red;label;small icon,red;white
2669,,ufo;flying saucer;spaceship;sci-fi;small icon,white;black;gray
2670,,spikes;cones;gray;metal;small icon,white;gray;black
2671,,rocket;spaceship;space;red;small icon,white;black;red
2672,,cartoon;face;sketch;black and white;small icon,white;black
2673,,cat;cartoon;white;face;small icon,white;gray
2674,,jack-o-lantern;pumpkin;halloween;orange;small icon,orange;white;yellow
2675,Linux,linux;operating system;text;black;small icon,white;black
2676,,portrait;man;face;pixel art;video game character;small icon,orange;white;yellow;red
2677,,portrait;man;face;pixel art;video game character;small icon,white;orange;red
2678,,portrait;man;face;sunglasses;pixel art;small icon,black;orange;white;brown
2679,,portrait;man;face;blond;pixel art;small icon,yellow;orange;white
2680,,portrait;man;face;sunglasses;pixel art;small icon,orange;yellow;white
2681,,portrait;man;face;pixel art;video game character;small icon,orange;white;yellow;black
2682,,portrait;man;face;hat;pixel art;small icon,black;orange;white
2683,,portrait;monster;face;creepy;pixel art;small icon,black;yellow;white;red
2684,,portrait;monster;face;horror;pixel art;small icon,black;yellow;gray;white
2685,,portrait;monster;face;horror;pixel art;small icon,white;gray;black;brown
2686,,portrait;creature;face;blue;pixel art;small icon,blue;white;gray
2687,,portrait;face;blue;alien;pixel art;small icon,blue;black
2688,,cartoon;creature;gray;eyes;small icon,white;gray;black
2689,,smiley;smiley face;watchmen;blood;yellow;small icon,yellow;white
2690,,horse;animal;yellow;small icon,white;yellow;orange
2691,BK,robot;monster;red eyes;dark;face;small icon,white;gray;black
2692,,wand;magic;staff;small icon,white;gray
2693,,santa hat;gnome;christmas;cartoon;small icon,white;gray
2694,,mask;face;glowing eyes;dark;small icon,black;white;gray
2695,,mask;face;glowing eyes;dark;small icon,white;black;gray
2696,,hooded figure;cloak;wizard;blue;small icon,white;blue
2697,,hooded figure;cloak;silhouette;black;small icon,black;white
2698,,kirby;nintendo;cute;white;small icon,white
2699,,portrait;face;monster;horror;pixel art;small icon,black;white;gray
2700,,cartoon;face;yellow;small icon,white;yellow;orange
2701,,cartoon;creature;scared;small icon,white;cyan;black
